channel,process,systematic,bin,sum_w,sum_ww
controlregion,data,nominal,0,11197.0,11197.0
controlregion,data,nominal,1,6366.0,6366.0
controlregion,data,nominal,2,3890.0,3890.0
controlregion,data,nominal,3,2408.0,2408.0
controlregion,data,nominal,4,1518.0,1518.0
controlregion,data,nominal,5,911.0,911.0
controlregion,data,nominal,6,527.0,527.0
controlregion,data,nominal,7,395.0,395.0
controlregion,data,nominal,8,263.0,263.0
controlregion,data,nominal,9,176.0,176.0
controlregion,data,nominal,10,120.0,120.0
controlregion,data,nominal,11,97.0,97.0
controlregion,data,nominal,12,76.0,76.0
controlregion,data,nominal,13,35.0,35.0
controlregion,data,nominal,14,40.0,40.0
controlregion,data,nominal,15,23.0,23.0
controlregion,data,nominal,16,23.0,23.0
controlregion,data,nominal,17,11.0,11.0
controlregion,data,nominal,18,9.0,9.0
controlregion,data,nominal,19,0.0,0.0
controlregion,single_atop_t_chan,jesDown,0,17.61656397965326,0.5789987433754045
controlregion,single_atop_t_chan,jesDown,1,9.794283705105732,0.32190601777214656
controlregion,single_atop_t_chan,jesDown,2,6.671944940055247,0.21928497183807297
controlregion,single_atop_t_chan,jesDown,3,4.338407547228043,0.14258924277155485
controlregion,single_atop_t_chan,jesDown,4,2.4650042881977514,0.0810166152111107
controlregion,single_atop_t_chan,jesDown,5,1.2489355060201939,0.04104841837362942
controlregion,single_atop_t_chan,jesDown,6,1.2160687821775573,0.03996819683748128
controlregion,single_atop_t_chan,jesDown,7,0.8545348199085537,0.028085759939851712
controlregion,single_atop_t_chan,jesDown,8,0.5916010291674603,0.01944398765066657
controlregion,single_atop_t_chan,jesDown,9,0.49300085763955026,0.01620332304222214
controlregion,single_atop_t_chan,jesDown,10,0.2300670668984568,0.007561550753036999
controlregion,single_atop_t_chan,jesDown,11,0.29580051458373013,0.009721993825333284
controlregion,single_atop_t_chan,jesDown,12,0.06573344768527337,0.0021604430722962855
controlregion,single_atop_t_chan,jesDown,13,0.06573344768527337,0.0021604430722962855
controlregion,single_atop_t_chan,jesDown,14,0.09860017152791005,0.0032406646084444284
controlregion,single_atop_t_chan,jesDown,15,0.03286672384263668,0.0010802215361481427
controlregion,single_atop_t_chan,jesDown,16,0.06573344768527337,0.0021604430722962855
controlregion,single_atop_t_chan,jesDown,17,0.03286672384263668,0.0010802215361481427
controlregion,single_atop_t_chan,jesDown,18,0.03286672384263668,0.0010802215361481427
controlregion,single_atop_t_chan,jesDown,19,0.0,0.0
controlregion,single_atop_t_chan,jesUp,0,18.79976603798818,0.6178867186767376
controlregion,single_atop_t_chan,jesUp,1,11.536220068765475,0.3791577591879981
controlregion,single_atop_t_chan,jesUp,2,6.83627855926843,0.2246860795188137
controlregion,single_atop_t_chan,jesUp,3,4.897141852552866,0.16095300888607328
controlregion,single_atop_t_chan,jesUp,4,2.6293379074109344,0.08641772289185141
controlregion,single_atop_t_chan,jesUp,5,1.4461358490760141,0.04752974759051828
