channel,process,systematic,bin,sum_w,sum_ww
signalregion,data,nominal,0,93.0,93.0
signalregion,data,nominal,1,649.0,649.0
signalregion,data,nominal,2,2176.0,2176.0
signalregion,data,nominal,3,4790.0,4790.0
signalregion,data,nominal,4,7534.0,7534.0
signalregion,data,nominal,5,9600.0,9600.0
signalregion,data,nominal,6,9174.0,9174.0
signalregion,data,nominal,7,8128.0,8128.0
signalregion,data,nominal,8,6895.0,6895.0
signalregion,data,nominal,9,5604.0,5604.0
signalregion,data,nominal,10,4651.0,4651.0
signalregion,data,nominal,11,3721.0,3721.0
signalregion,data,nominal,12,3011.0,3011.0
signalregion,data,nominal,13,2468.0,2468.0
signalregion,data,nominal,14,1926.0,1926.0
signalregion,data,nominal,15,1628.0,1628.0
signalregion,data,nominal,16,1347.0,1347.0
signalregion,data,nominal,17,1110.0,1110.0
signalregion,data,nominal,18,962.0,962.0
signalregion,data,nominal,19,750.0,750.0
signalregion,data,nominal,20,0.0,0.0
signalregion,single_atop_t_chan,nominal,0,1.4529886447528626,0.052779400044519004
signalregion,single_atop_t_chan,nominal,1,8.60895772016071,0.3127179452637751
signalregion,single_atop_t_chan,nominal,2,20.23286687818361,0.7349531456199272
signalregion,single_atop_t_chan,nominal,3,38.50419908595086,1.3986541011797538
signalregion,single_atop_t_chan,nominal,4,55.79476395850992,2.02672896170953
signalregion,single_atop_t_chan,nominal,5,67.27337425205754,2.44368622206123
signalregion,single_atop_t_chan,nominal,6,72.90370525047487,2.648206397233741
signalregion,single_atop_t_chan,nominal,7,66.80115294251286,2.4265329170467616
signalregion,single_atop_t_chan,nominal,8,61.49774438916491,2.233888106884267
signalregion,single_atop_t_chan,nominal,9,52.34391592722187,1.9013778866037971
signalregion,single_atop_t_chan,nominal,10,47.767001696250354,1.7351227764635624
signalregion,single_atop_t_chan,nominal,11,42.71786615573416,1.5517143613088589
signalregion,single_atop_t_chan,nominal,12,35.05335105466281,1.273303026074021
signalregion,single_atop_t_chan,nominal,13,28.07900555984907,1.0199619058603298
signalregion,single_atop_t_chan,nominal,14,26.153795605551526,0.9500292008013421
signalregion,single_atop_t_chan,nominal,15,22.33970041307526,0.8114832756844798
signalregion,single_atop_t_chan,nominal,16,17.65381203374728,0.641269710540906
signalregion,single_atop_t_chan,nominal,17,14.239288718578052,0.5172381204362863
signalregion,single_atop_t_chan,nominal,18,13.4764696800828,0.4895289354129138
signalregion,single_atop_t_chan,nominal,19,10.606817106695896,0.38528962032498876
signalregion,single_atop_t_chan,nominal,20,0.0,0.0
signalregion,single_top_tW,nominal,0,3.997761655705402,0.319641965116568
signalregion,single_top_tW,nominal,1,26.705047860112085,2.135208326978674
signalregion,single_top_tW,nominal,2,82.11402440818895,6.565445963494306
