channel,process,systematic,bin,sum_w,sum_ww
controlregion,data,nominal,0,629.0,629.0
controlregion,data,nominal,1,3717.0,3717.0
controlregion,data,nominal,2,9613.0,9613.0
controlregion,data,nominal,3,17399.0,17399.0
controlregion,data,nominal,4,24207.0,24207.0
controlregion,data,nominal,5,27080.0,27080.0
controlregion,data,nominal,6,26813.0,26813.0
controlregion,data,nominal,7,24735.0,24735.0
controlregion,data,nominal,8,22516.0,22516.0
controlregion,data,nominal,9,19498.0,19498.0
controlregion,data,nominal,10,16759.0,16759.0
controlregion,data,nominal,11,14586.0,14586.0
controlregion,data,nominal,12,11859.0,11859.0
controlregion,data,nominal,13,10129.0,10129.0
controlregion,data,nominal,14,8599.0,8599.0
controlregion,data,nominal,15,7193.0,7193.0
controlregion,data,nominal,16,6170.0,6170.0
controlregion,data,nominal,17,5056.0,5056.0
controlregion,data,nominal,18,4348.0,4348.0
controlregion,data,nominal,19,3686.0,3686.0
controlregion,data,nominal,20,0.0,0.0
controlregion,single_atop_t_chan,jesDown,0,1.258200655623801,0.043974135828115636
controlregion,single_atop_t_chan,jesDown,1,6.325953296330778,0.22109218291358138
controlregion,single_atop_t_chan,jesDown,2,13.945057266497129,0.48738000542828164
controlregion,single_atop_t_chan,jesDown,3,23.416512201887407,0.8184075279121521
controlregion,single_atop_t_chan,jesDown,4,30.651165971724264,1.071258808923817
controlregion,single_atop_t_chan,jesDown,5,35.01991824819579,1.2239467805492186
controlregion,single_atop_t_chan,jesDown,6,35.01991824819579,1.2239467805492186
controlregion,single_atop_t_chan,jesDown,7,32.60836699158351,1.1396630202119968
controlregion,single_atop_t_chan,jesDown,8,28.938615079347425,1.0114051240466597
controlregion,single_atop_t_chan,jesDown,9,24.95431300320539,0.8721536939242934
controlregion,single_atop_t_chan,jesDown,10,23.346612165463863,0.8159645203661456
controlregion,single_atop_t_chan,jesDown,11,18.663309725086382,0.6522830147837153
controlregion,single_atop_t_chan,jesDown,12,16.28670848668587,0.5692207582194968
controlregion,single_atop_t_chan,jesDown,13,15.727508195297514,0.5496766978514455
controlregion,single_atop_t_chan,jesDown,14,12.89655672014396,0.45073489223818525
controlregion,single_atop_t_chan,jesDown,15,10.030655226778636,0.35057158285192186
controlregion,single_atop_t_chan,jesDown,16,8.912254644001925,0.31148346211581907
controlregion,single_atop_t_chan,jesDown,17,7.549203933742806,0.26384481496869383
controlregion,single_atop_t_chan,jesDown,18,6.6754534784485005,0.2333072206436135
controlregion,single_atop_t_chan,jesDown,19,5.696852968518877,0.19910511499952357
controlregion,single_atop_t_chan,jesDown,20,0.0,0.0
controlregion,single_atop_t_chan,jesUp,0,1.0485005463531676,0.03664511319009636
controlregion,single_atop_t_chan,jesUp,1,4.8930025496481155,0.17101052822044968
